City,Population,LiteracyRate,Graduates,Location,StartupCount,PopulationScore,LiteracyScore,GraduateScore,StartupScore,OpportunityScore
Bengaluru,8425970,89.59,1591163,"12.9716,77.5946",126.0,27.009675162301846,18.135627530364374,14.32746381695501,20.0,79.47276650962124
Greater Mumbai ,12478447,90.28,1802371,"19.0760,72.8777",0.0,40.0,18.275303643724698,16.229264561348536,0.0,74.50456820507324
Delhi ,11007835,87.6,2221137,"28.7041,77.1025",0.0,35.285913383292005,17.732793522267205,20.0,0.0,73.01870690555921
Greater Hyderabad ,6809970,82.96,1164149,"17.3850,78.4867",0.0,21.8295433718635,16.793522267206477,10.482460109394422,0.0,49.1055257484644
Ahmadabad ,5570585,89.62,769858,"23.022505,72.5713621",0.0,17.85666116945482,18.1417004048583,6.932107294597316,0.0,42.93046886891044
Chennai ,4681087,90.33,879695,"13.0826802,80.2707184",0.0,15.005351226799297,18.285425101214575,7.921123280554059,0.0,41.211899608567926
Kolkata ,4486679,87.14,818476,"22.572646,88.363895",0.0,14.382171114722851,17.639676113360323,7.369883082403291,0.0,39.391730310486466
Surat ,4462002,89.03,278795,"21.1702401,72.8310607",0.0,14.30306832252443,18.022267206477732,2.5103809445342633,0.0,34.83571647353642
Pune ,3115431,91.61,656508,"18.5204303,73.8567437",0.0,9.986598492584855,18.544534412955468,5.911458860934737,0.0,34.44259176647506
Jaipur ,3073350,84.34,533148,"26.9124336,75.7872709",0.0,9.851706706772084,17.072874493927127,4.800676410324982,0.0,31.725257611024194
Lucknow ,2815601,84.72,596990,"26.8466937,80.946166",0.0,9.025485302778463,17.149797570850204,5.375535142586882,0.0,31.55081801621555
Kanpur ,2767031,84.14,459611,"26.449923,80.3318736",0.0,8.869792851626489,17.032388663967613,4.138520046264594,0.0,30.040701561858697
Nagpur ,2405421,93.13,382282,"21.1458004,79.0881546",0.0,7.710642197702967,18.852226720647774,3.4422190076523873,0.0,30.005087926003128
Indore ,1960631,87.38,313525,"22.7195687,75.8577258",0.0,6.284855799764185,17.68825910931174,2.8231036626736667,0.0,26.79621857174959
Vadodara ,1666703,92.37,279959,"22.3071588,73.1812187",0.0,5.342661630890446,18.69838056680162,2.5208620629884604,0.0,26.561904260680528
Thane ,1818872,91.36,241148,"19.2183307,72.9780897",0.0,5.8304434838726324,18.493927125506072,2.171392399478285,0.0,26.49576300885699
Pimpri Chinchwad ,1729359,90.9,249581,"18.6297811,73.7997094",0.0,5.543507136745463,18.40080971659919,2.2473264818874297,0.0,26.191643335232083
Bhopal ,1795648,85.24,282813,"23.2599333,77.412615",0.0,5.755998322547669,17.25506072874494,2.5465606128752976,0.0,25.557619664167905
Patna ,1683200,84.71,307603,"25.5940947,85.1375645",0.0,5.395543211426871,17.147773279352226,2.769779621878344,0.0,25.31309611265744
Nashik ,1486973,90.96,204014,"19.9974533,73.7898023",0.0,4.766532245559083,18.412955465587043,1.8370231102358836,0.0,25.01651082138201
Visakhapatnam,1730320,82.66,250549,"17.6868,83.2185",0.0,5.546587648286682,16.732793522267208,2.2560427384713324,0.0,24.535423909025223
Ludhiana ,1613878,85.38,211267,"30.900965,75.8572758",0.0,5.173329661936297,17.283400809716596,1.9023320038340725,0.0,24.359062475486965
Navi Mumbai ,1119477,91.57,192624,"19.0330488,73.0296625",0.0,3.5885138591364774,18.536437246963562,1.7344630250182678,0.0,23.859414131118307
Faridabad ,1404653,84.88,219974,"28.4089123,77.3177894",0.0,4.5026532548481395,17.182186234817813,1.98073329110271,0.0,23.665572780768663
Vasai Virar City ,1221233,91.15,129954,"19.3919275,72.8397317",0.0,3.9146954745249953,18.451417004048587,1.170157446388944,0.0,23.53626992496253
Coimbatore ,1061447,91.74,168145,"11.0168445,76.9558321",0.0,3.4024971216370115,18.57085020242915,1.5140443835747186,0.0,23.487391707640878
Rajkot ,1286995,88.82,148048,"22.3038945,70.8021599",0.0,4.125497347546533,17.979757085020243,1.333083011088465,0.0,23.43833744365524
Bhubaneswar Town ,837737,93.15,200788,"20.2960587,85.8245398",0.0,2.685388654533693,18.856275303643727,1.8079749245544061,0.0,23.349638882731824
Aurangabad ,1171330,89.13,159308,"19.8761653,75.3433139",0.0,3.7547300557513283,18.04251012145749,1.4344725246574164,0.0,23.231712701866233
