City,Population,LiteracyRate,Graduates,Location
Abohar ,145238,79.86,16287,"30.1452928,74.1993043"
Achalpur ,112293,91.99,8863,"21.257584,77.5086754"
Adilabad ,117388,80.51,10565,"19.0809075,79.560344"
Adityapur ,173988,83.46,19225,"22.7834741,86.1576889"
Adoni ,166537,68.38,11902,"15.6322227,77.2728368"
Agartala ,399688,93.88,52711,"23.831457,91.2867777"
Agra ,1574542,63.44,185813,"27.1766701,78.0080745"
Ahmadabad ,5570585,89.62,769858,"23.022505,72.5713621"
Ahmadnagar ,350905,91.49,51661,"19.0952075,74.7495916"
Aizawl ,291822,98.8,26832,"23.727107,92.7176389"
Ajmer ,542580,87.53,77989,"26.4498954,74.6399163"
Akbarpur ,111594,76.94,9745,"26.4407468,82.5537514"
Akola ,427146,91.34,49715,"20.7059345,77.0219019"
Alandur ,164162,95.15,45971,"12.9974873,80.2006371"
Alappuzha ,174164,96.56,22263,"9.4980667,76.3388484"
Aligarh ,872575,70.36,99341,"27.8973944,78.0880129"
Allahabad ,1117094,86.5,233129,"25.4358011,81.846311"
Alwar ,315310,86.78,58764,"27.5529907,76.6345735"
Ambala ,196216,88.23,34943,"30.3781788,76.7766974"
Ambala Sadar ,104268,87.97,20618,"30.3248708,76.8432663"
Ambarnath ,254003,89.04,26596,"19.1825167,73.1926023"
Ambattur ,478134,92.69,97186,"13.1143167,80.1480551"
Ambikapur ,114575,88.2,20857,"23.1354921,83.1817856"
Ambur ,113856,86.83,7813,"12.7903613,78.7166084"
Amravati ,646801,93.03,91996,"20.9374238,77.7795513"
Amreli ,105980,89.47,11305,"21.6031774,71.2220832"
Amritsar ,1132761,85.27,140359,"31.6339793,74.8722642"
Amroha ,197135,63.88,13879,"28.9043537,78.4673426"
Anand ,197351,93.71,29803,"22.5645175,72.928871"
Anantapur ,262340,81.88,43700,"14.6818877,77.6005911"
Anantnag ,108505,78.95,12666,"33.7311255,75.1487007"
Arrah ,261099,83.41,35354,"25.5560443,84.6603307"
Asansol ,564491,84.82,65625,"23.6739452,86.9523954"
Ashoknagar Kalyangarh ,123906,92.45,11992,"22.84039,88.6241351"
Aurangabad ,101520,86.89,13141,"24.7457189,84.3804888"
Aurangabad ,1171330,89.13,159308,"19.8761653,75.3433139"
Avadi ,344701,88.63,51647,"13.1067448,80.0969511"
Azamgarh ,110980,86.43,19911,"26.0737044,83.1859458"
