City,Industry,Investment
Bengaluru,E-Tech,200000000.0
Gurgaon,Transportation,8048394.0
Bengaluru,E-commerce,18358860.0
New Delhi,FinTech,3000000.0
Mumbai,Fashion and Apparel,1800000.0
Chennai,Logistics,9000000.0
Gurgaon,Hospitality,150000000.0
Pune,Technology,6000000.0
Gurgaon,E-Commerce,70000000.0
Bengaluru,Aerospace,50000000.0
Gurgaon,Technology,20000000.0
Bengaluru,B2B-focused foodtech startup,12000000.0
Bengaluru,E-Commerce,30000000.0
Mumbai,Finance,5900000.0
Bengaluru,Video,2000000.0
Noida,Gaming,50000000.0
Faridabad,E-Commerce,231000000.0
San Francisco,Software,150000000.0
Gurgaon,Health and wellness,486000.0
Gurgaon,Education,1500000.0
Gurgaon,Health and Wellness,12000000.0
Bengaluru,B2B Marketing,26000000.0
Gurgaon,FinTech,17411265.0
Pune,Video Games,1300000.0
"San Jose,",SaaS,135000000.0
Amritsar,Last Mile Transportation,300000.0
Delhi,E-Commerce,220000000.0
Mumbai,Healthcare,15800000.0
Kormangala,Last Mile Transportation,283000000.0
Tulangan,Education,200000000.0
Noida,FinTech,1000000000.0
Bengaluru,Customer Service,45000000.0
Bengaluru,B2B,585000000.0
Pune,FinTech,4500000.0
Mumbai,FinTech,3300000.0
Mumbai,"Advertising, Marketing",6000000.0
Hyderabad,SaaS,5000000.0
Burnsville,IoT,18000000.0
Bengaluru,Information Technology,1000000.0
Mumbai,Consumer Technology,10000000.0
Menlo Park,Health and Wellness,450000000.0
Bengaluru,Accounting,5000000.0
Gurgaon,E-Commerce,20000000.0
New Delhi,Finance,5000000.0
Bengaluru,Retail,1600000.0
Mumbai,Finance,140000000.0
Noida,Information Technology,38080000.0
Bengaluru,E-Commerce,125000000.0
Gurugram,E-Commerce,11000000.0
Palo Alto,Customer Service Platform,51000000.0
San Francisco,Automotive,37000000.0
Bengaluru,Consumer Goods,500000.0
Santa Monica,FinTech,110000000.0
Gurgaon,FinTech,15000000.0
Bengaluru,Food and Beverage,6590000.0
Noida,EdTech,1000000.0
